State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Anantapur,Anantapur,"Mousambi(Sweet Lime)",Mousambi,Medium,28/10/2025,1000,2000,1500
"Andhra Pradesh",Chittor,Palamaner,Brinjal,Brinjal,FAQ,28/10/2025,2000,4000,3000
"Andhra Pradesh",Chittor,Palamaner,Cauliflower,Cauliflower,FAQ,28/10/2025,1000,2000,1500
"Andhra Pradesh",Chittor,Palamaner,"Cluster beans","Cluster Beans",FAQ,28/10/2025,3000,5000,4000
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Desi(Bontha),Large,28/10/2025,1800,2700,2500
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Karpura,Large,28/10/2025,1700,2800,2400
"Andhra Pradesh","West Godavari",Eluru,Lemon,Lemon,FAQ,28/10/2025,1400,2200,1600
Bihar,Bhojpur,Piro,Onion,Medium,FAQ,28/10/2025,1800,1850,1820
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cucumbar(Kheera),Other,FAQ,28/10/2025,1000,2500,2000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Ginger(Green),Other,FAQ,28/10/2025,2000,3500,3000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),"Green Chilli",Other,FAQ,28/10/2025,3000,4500,4000
Chattisgarh,Balodabazar,Bhatgaon,Paddy(Dhan)(Common),D.B.,Non-FAQ,28/10/2025,1600,1600,1600
Chattisgarh,Kondagaon,Pharasgaon,Maize,Hybrid,Non-FAQ,28/10/2025,1750,1750,1750
Chattisgarh,Koria,Baikunthpur,Maize,Local,FAQ,28/10/2025,2300,2300,2300
Goa,"North Goa",Mapusa,Chikoos(Sapota),Sapota,Medium,28/10/2025,5000,5000,5000
Goa,"South Goa",Curchorem,Coconut,Medium,FAQ,28/10/2025,1760,1760,1760
Gujarat,Amreli,Damnagar,Lemon,Lemon,FAQ,28/10/2025,2500,4000,3500
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)","Bottle gourd","Bottle Gourd",FAQ,28/10/2025,700,1500,1000
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Brinjal,Other,FAQ,28/10/2025,1000,2500,1800
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Cabbage,Other,FAQ,28/10/2025,1200,1500,1300
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Cauliflower,Other,FAQ,28/10/2025,3000,6000,4500
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Tomato,Other,FAQ,28/10/2025,1200,2000,1600
Gujarat,Bharuch,Ankleshwar,Ginger(Green),"Green Ginger",FAQ,28/10/2025,2500,5000,3500
Gujarat,Bharuch,Jambusar,"Arhar (Tur/Red Gram)(Whole)",Other,FAQ,28/10/2025,6800,7200,7000
