District,Annual_Rainfall_mm,State,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price,Effective_Rainfall_mm,GW_Depth_m,GW_Contribution_mm,Total_Available_mm,Feasibility,Top_3_Crops
Gurdaspur,714.8,Punjab,Gurdaspur,Carrot,Other,FAQ,28/10/2025,1200.0,1400.0,1300.0,464.62,,,464.62,"{'Paddy': np.float64(38.72), 'Wheat': np.float64(103.25), 'Maize': np.float64(84.48), 'Cotton': np.float64(66.37), 'Sugarcane': np.float64(30.97), 'Mustard': np.float64(116.16), 'Barley': np.float64(103.25), 'Groundnut': np.float64(77.44)}","['1. Mustard (116.16%)', '2. Wheat (103.25%)', '3. Barley (103.25%)']"
Gurdaspur,714.8,Punjab,Gurdaspur,Cucumbar(Kheera),Other,FAQ,28/10/2025,1500.0,1700.0,1600.0,464.62,,,464.62,"{'Paddy': np.float64(38.72), 'Wheat': np.float64(103.25), 'Maize': np.float64(84.48), 'Cotton': np.float64(66.37), 'Sugarcane': np.float64(30.97), 'Mustard': np.float64(116.16), 'Barley': np.float64(103.25), 'Groundnut': np.float64(77.44)}","['1. Mustard (116.16%)', '2. Wheat (103.25%)', '3. Barley (103.25%)']"
Gurdaspur,714.8,Punjab,Gurdaspur,Garlic,Other,FAQ,28/10/2025,5500.0,6000.0,5800.0,464.62,,,464.62,"{'Paddy': np.float64(38.72), 'Wheat': np.float64(103.25), 'Maize': np.float64(84.48), 'Cotton': np.float64(66.37), 'Sugarcane': np.float64(30.97), 'Mustard': np.float64(116.16), 'Barley': np.float64(103.25), 'Groundnut': np.float64(77.44)}","['1. Mustard (116.16%)', '2. Wheat (103.25%)', '3. Barley (103.25%)']"
Gurdaspur,714.8,Punjab,Gurdaspur,Papaya,Other,Medium,28/10/2025,3000.0,3500.0,3300.0,464.62,,,464.62,"{'Paddy': np.float64(38.72), 'Wheat': np.float64(103.25), 'Maize': np.float64(84.48), 'Cotton': np.float64(66.37), 'Sugarcane': np.float64(30.97), 'Mustard': np.float64(116.16), 'Barley': np.float64(103.25), 'Groundnut': np.float64(77.44)}","['1. Mustard (116.16%)', '2. Wheat (103.25%)', '3. Barley (103.25%)']"
Gurdaspur,714.8,Punjab,Kalanaur,Bottle gourd,Bottle Gourd,FAQ,28/10/2025,200.0,200.0,200.0,464.62,,,464.62,"{'Paddy': np.float64(38.72), 'Wheat': np.float64(103.25), 'Maize': np.float64(84.48), 'Cotton': np.float64(66.37), 'Sugarcane': np.float64(30.97), 'Mustard': np.float64(116.16), 'Barley': np.float64(103.25), 'Groundnut': np.float64(77.44)}","['1. Mustard (116.16%)', '2. Wheat (103.25%)', '3. Barley (103.25%)']"
Gurdaspur,714.8,Punjab,Quadian,Brinjal,Other,FAQ,28/10/2025,1700.0,1900.0,1800.0,464.62,,,464.62,"{'Paddy': np.float64(38.72), 'Wheat': np.float64(103.25), 'Maize': np.float64(84.48), 'Cotton': np.float64(66.37), 'Sugarcane': np.float64(30.97), 'Mustard': np.float64(116.16), 'Barley': np.float64(103.25), 'Groundnut': np.float64(77.44)}","['1. Mustard (116.16%)', '2. Wheat (103.25%)', '3. Barley (103.25%)']"
Gurdaspur,714.8,Punjab,Quadian,Carrot,Other,FAQ,28/10/2025,6000.0,6200.0,6100.0,464.62,,,464.62,"{'Paddy': np.float64(38.72), 'Wheat': np.float64(103.25), 'Maize': np.float64(84.48), 'Cotton': np.float64(66.37), 'Sugarcane': np.float64(30.97), 'Mustard': np.float64(116.16), 'Barley': np.float64(103.25), 'Groundnut': np.float64(77.44)}","['1. Mustard (116.16%)', '2. Wheat (103.25%)', '3. Barley (103.25%)']"
Gurdaspur,714.8,Punjab,Quadian,Green Chilli,Other,FAQ,28/10/2025,8700.0,8900.0,8800.0,464.62,,,464.62,"{'Paddy': np.float64(38.72), 'Wheat': np.float64(103.25), 'Maize': np.float64(84.48), 'Cotton': np.float64(66.37), 'Sugarcane': np.float64(30.97), 'Mustard': np.float64(116.16), 'Barley': np.float64(103.25), 'Groundnut': np.float64(77.44)}","['1. Mustard (116.16%)', '2. Wheat (103.25%)', '3. Barley (103.25%)']"
Gurdaspur,714.8,Punjab,Quadian,Onion,Other,FAQ,28/10/2025,1200.0,1400.0,1300.0,464.62,,,464.62,"{'Paddy': np.float64(38.72), 'Wheat': np.float64(103.25), 'Maize': np.float64(84.48), 'Cotton': np.float64(66.37), 'Sugarcane': np.float64(30.97), 'Mustard': np.float64(116.16), 'Barley': np.float64(103.25), 'Groundnut': np.float64(77.44)}","['1. Mustard (116.16%)', '2. Wheat (103.25%)', '3. Barley (103.25%)']"
Gurdaspur,714.8,Punjab,Quadian,Tomato,Other,FAQ,28/10/2025,2900.0,3100.0,3000.0,464.62,,,464.62,"{'Paddy': np.float64(38.72), 'Wheat': np.float64(103.25), 'Maize': np.float64(84.48), 'Cotton': np.float64(66.37), 'Sugarcane': np.float64(30.97), 'Mustard': np.float64(116.16), 'Barley': np.float64(103.25), 'Groundnut': np.float64(77.44)}","['1. Mustard (116.16%)', '2. Wheat (103.25%)', '3. Barley (103.25%)']"
